threshold,period,symbol,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q05,q10,q90,q95
2.5,2024-11,ETHUSDT,0.0004,90,0.0008822496846770791,0.00026668897589535,0.00039866131403633694,0.0004895271216839088,0.5222222222222223,1.3511666802420825,-0.010614856897258374,-0.009746947316917259,0.008570033451377756,0.01345570020871287
2.5,2024-11,ETHUSDT,0.0006,90,0.0006822496846770793,6.668897589535007e-05,0.00019866131403633688,0.0002895271216839088,0.5,1.2615569988207245,-0.010814856897258375,-0.00994694731691726,0.008370033451377755,0.013255700208712869
2.5,2024-11,SOLUSDT,0.0004,60,0.00035292638486336306,-0.0002331540029902,0.0005812638242812222,0.0005167823610776958,0.48333333333333334,1.0955958625534525,-0.01816099301974497,-0.01106916634051405,0.011357253650649381,0.01803389140423689
2.5,2024-11,SOLUSDT,0.0006,60,0.00015292638486336327,-0.00043315400299019993,0.00038126382428122223,0.0003167823610776961,0.48333333333333334,1.0402947721758937,-0.01836099301974497,-0.01126916634051405,0.01115725365064938,0.01783389140423689
2.5,2024-12,BNBUSDT,0.0004,58,0.0016649151163979847,0.0005458072667015,0.001296490905528543,0.0015736719440119745,0.5689655172413793,1.7417716054963888,-0.008444959971945469,-0.00755832806904493,0.010708324559572394,0.018689006509773738
2.5,2024-12,BNBUSDT,0.0006,58,0.0014649151163979852,0.0003458072667015001,0.0010964909055285433,0.001373671944011975,0.5344827586206896,1.6280977347497139,-0.00864495997194547,-0.00775832806904493,0.010508324559572393,0.01848900650977374
2.5,2024-12,BTCUSDT,0.0004,59,0.0006680923110776374,1.6913174853400007e-05,0.0004857888209006362,0.0005146977395854447,0.5084745762711864,1.3980031438203624,-0.00670769729478027,-0.0043817829608153195,0.00763165634177938,0.008749317509950618
2.5,2024-12,BTCUSDT,0.0006,59,0.00046809231107763753,-0.00018308682514659992,0.00028578882090063657,0.00031469773958544504,0.4745762711864407,1.2627740102959917,-0.00690769729478027,-0.004581782960815319,0.00743165634177938,0.008549317509950617
2.5,2024-12,ETHUSDT,0.0004,52,-0.00121055536228331,0.00018048915230684995,-0.0002426136410619333,-0.00016674456775582307,0.5192307692307693,0.6991002600146544,-0.011500954502653272,-0.00882214395459921,0.00937298213378712,0.01220675745386694
2.5,2024-12,ETHUSDT,0.0006,52,-0.0014105553622833094,-1.9510847693149976e-05,-0.00044261364106193326,-0.00036674456775582305,0.4807692307692308,0.6576340995018098,-0.011700954502653273,-0.00902214395459921,0.00917298213378712,0.012006757453866939
