symbol,period,year,open_time,event,ret_5m,return_z,range_ratio,volume_ratio_7d,close_position,future_long_1,future_short_1,future_long_3,future_short_3,future_long_6,future_short_6,future_long_12,future_short_12,entry_time,exit_time,gross_return,net_return_4bps,net_return_5bps,net_return_8bps
BNBUSDT,2026-02,2026,2026-02-04 18:25:00+00:00,EXTREME_UP,0.0100873294676995,4.19423453575746,6.408192361328531,7.391619655707805,0.6816015252621626,0.0001117365252734,-0.000111724041617,0.0032543262985877,-0.0032437700125295,-0.0064667514001983,0.006508842466331,-0.0061036076930597,0.0061410905002809,2026-02-04 18:30:00+00:00,2026-02-04 19:00:00+00:00,-0.0064667514001983,-0.0068667514001983,-0.0070667514001982994,-0.0072667514001983
ETHUSDT,2026-02,2026,2026-02-04 18:25:00+00:00,EXTREME_UP,0.0190713061347953,5.542563659874003,8.211722638981955,10.308776487175916,0.6550700741962071,0.0127353423418328,-0.0125751929545421,0.0211313394018204,-0.020694046482012,0.0116846648197357,-0.0115497103258134,0.0059130057857936,-0.005878247673291,2026-02-04 18:30:00+00:00,2026-02-04 19:00:00+00:00,0.0116846648197357,0.011284664819735701,0.0110846648197357,0.0108846648197357
BNBUSDT,2026-02,2026,2026-02-04 22:20:00+00:00,EXTREME_UP,0.0113091455312266,4.59788475430282,5.802391789425331,6.392766460745805,0.8584905660377449,0.004370179948586,-0.0043511645764012,-0.0026706655241359,0.0026778170778858,-0.0102970579834333,0.01040419053666,-0.00157097972008,0.0015734515806036,2026-02-04 22:25:00+00:00,2026-02-04 22:55:00+00:00,-0.0102970579834333,-0.0106970579834333,-0.0108970579834333,-0.0110970579834333
SOLUSDT,2026-02,2026,2026-02-04 22:20:00+00:00,EXTREME_UP,0.0153066842858715,4.4895023355582655,5.139622083163348,4.630364896601816,0.8795180722891557,0.0049891540130151,-0.004964385927045,0.0003253796095443,-0.0003252737720915,-0.0114967462039046,0.011630458635067,-0.0052060737527115,0.0052333187963367,2026-02-04 22:25:00+00:00,2026-02-04 22:55:00+00:00,-0.0114967462039046,-0.0118967462039046,-0.0120967462039046,-0.0122967462039046
BTCUSDT,2026-02,2026,2026-02-05 01:25:00+00:00,EXTREME_UP,0.0092971447152669,4.015355305688266,5.0852100185650535,5.437054982303973,0.7689402609292653,0.0001823381508991,-0.0001823049097591,-0.0046722437463496,0.0046941760811891,-0.0075704606711688,0.0076282097329436,-0.008871505071194,0.0089509131425298,2026-02-05 01:30:00+00:00,2026-02-05 02:00:00+00:00,-0.0075704606711688,-0.0079704606711688,-0.0081704606711688,-0.008370460671168799
SOLUSDT,2026-02,2026,2026-02-05 01:25:00+00:00,EXTREME_UP,0.0149270113050159,4.2987295097904585,4.897396290836023,3.9480834246869954,0.8404907975460101,0.0028120268224096,-0.0028041415012942,-0.0050832792558944,0.0051092510055441,-0.0061648280337442,0.0062030688867122,-0.007895306078304,0.0079581380137359,2026-02-05 01:30:00+00:00,2026-02-05 02:00:00+00:00,-0.0061648280337442,-0.0065648280337442,-0.0067648280337442,-0.0069648280337442
SOLUSDT,2026-02,2026,2026-02-05 07:00:00+00:00,EXTREME_UP,0.0145297249334517,4.0789242299266455,4.419239531681973,6.516789043511514,0.9013157894736812,-0.0075434568711052,0.0076007931262391,-0.0030611129332021,0.0030705121175567,-0.0018585328523013,0.0018619934282584,-0.0062315513283043,0.0062706270627062,2026-02-05 07:05:00+00:00,2026-02-05 07:35:00+00:00,-0.0018585328523013,-0.0022585328523013,-0.0024585328523013,-0.0026585328523013
SOLUSDT,2026-02,2026,2026-02-05 15:35:00+00:00,EXTREME_UP,0.0171919770773638,4.621587247069097,4.422433869974021,9.887226504053372,0.9599999999999984,0.0019953051643193,-0.0019913318495958,-0.0056338028169014,0.0056657223796034,-0.0131455399061033,0.0133206470028544,-0.0014084507042253,0.001410437235543,2026-02-05 15:40:00+00:00,2026-02-05 16:10:00+00:00,-0.0131455399061033,-0.013545539906103299,-0.0137455399061033,-0.0139455399061033
ETHUSDT,2026-02,2026,2026-02-05 16:50:00+00:00,EXTREME_UP,0.0153121617109963,4.022667222993366,5.00501668018796,6.805121194770833,0.7450159980310147,-0.0048726533540595,0.0048965123614406,-0.0158236677428355,0.0160780819698687,-0.0108762804416278,0.0109958746581104,-0.024158993981426,0.0247571006264581,2026-02-05 16:55:00+00:00,2026-02-05 17:25:00+00:00,-0.0108762804416278,-0.0112762804416278,-0.0114762804416278,-0.011676280441627801
ETHUSDT,2026-02,2026,2026-02-05 20:55:00+00:00,EXTREME_UP,0.0206491931518972,5.299524793935855,6.099154785577797,9.084253805413242,0.969761955822435,0.0165973549136413,-0.0163263801872191,0.0033933321558363,-0.0033818563937889,0.0056733944561302,-0.0056413886331342,-0.0105118365206035,0.0106235091116604,2026-02-05 21:00:00+00:00,2026-02-05 21:30:00+00:00,0.0056733944561302,0.005273394456130199,0.0050733944561302,0.004873394456130199
BTCUSDT,2026-02,2026,2026-02-05 21:20:00+00:00,EXTREME_UP,0.0156045140097356,5.872148671877241,7.889290018727447,8.233965493528126,0.7843882800268411,0.0007949523654526,-0.00079432091816,-0.0012315502197072,0.0012330688058659,-0.0097898070832133,0.0098865949403896,-0.0132810250503886,0.0134597847893489,2026-02-05 21:25:00+00:00,2026-02-05 21:55:00+00:00,-0.0097898070832133,-0.0101898070832133,-0.0103898070832133,-0.0105898070832133
BNBUSDT,2026-02,2026,2026-02-05 22:25:00+00:00,EXTREME_UP,0.0233099079481342,7.894411981978553,10.268510684916174,10.976263564878863,0.8994382022471871,-0.0037561258705185,0.0037702875451059,-0.0002579313902503,0.0002579979360166,-0.0044654371937066,0.0044854667638249,0.0008060355945318,-0.0008053864244064,2026-02-05 22:30:00+00:00,2026-02-05 23:00:00+00:00,-0.0044654371937066,-0.0048654371937066005,-0.0050654371937066,-0.005265437193706601
BTCUSDT,2026-02,2026,2026-02-05 22:25:00+00:00,EXTREME_UP,0.0162526326473646,6.0190941711655785,8.257778040384661,6.759282041788333,0.8458771249206458,-0.0033957924009782,0.0034073630986961,-0.0012375291240697,0.0012390625,-0.0031304961196518,0.0031403269008292,0.0044944311189416,-0.004474321588757,2026-02-05 22:30:00+00:00,2026-02-05 23:00:00+00:00,-0.0031304961196518,-0.0035304961196518003,-0.0037304961196518,-0.0039304961196518
ETHUSDT,2026-02,2026,2026-02-05 22:25:00+00:00,EXTREME_UP,0.0230192982360419,5.778759719341468,6.641844460579969,5.482135811665542,0.8944123314065509,-0.0052373054010378,0.0052648791812093,-0.0005866635377944,0.0005870079139338,-0.0029173177743052,0.0029258534184879,0.002906651164527,-0.0028982270295566,2026-02-05 22:30:00+00:00,2026-02-05 23:00:00+00:00,-0.0029173177743052,-0.0033173177743052,-0.0035173177743051997,-0.0037173177743051997
SOLUSDT,2026-02,2026,2026-02-05 22:25:00+00:00,EXTREME_UP,0.0243745991019883,6.153544308486785,7.776114369936507,8.518176148546937,0.8632812499999968,-0.0022542266750155,0.0022593196937366,0.0008766437069507,-0.000875875875876,-0.0011271133375077,0.0011283851554662,0.0010018785222294,-0.0010008757662957,2026-02-05 22:30:00+00:00,2026-02-05 23:00:00+00:00,-0.0011271133375077,-0.0015271133375077,-0.0017271133375077,-0.0019271133375077
BNBUSDT,2026-02,2026,2026-02-06 00:20:00+00:00,EXTREME_UP,0.0179262721026749,5.71433156390025,7.6097176651367935,29.343861948532577,0.8778565799842426,0.0082736647367158,-0.0082057729226483,0.0537017369557024,-0.0509648367011851,0.0605707629586489,-0.057111477210324,0.0683819246976602,-0.0640051306717974,2026-02-06 00:25:00+00:00,2026-02-06 00:55:00+00:00,0.0605707629586489,0.0601707629586489,0.05997076295864889,0.059770762958648894
BTCUSDT,2026-02,2026,2026-02-06 00:20:00+00:00,EXTREME_UP,0.0166073645704001,5.878955995462104,5.896352223493783,13.005399600689437,1.0,0.0052067110177023,-0.0051797416000444,0.0356469535166612,-0.0344199858799543,0.0457521697361562,-0.0437504898963772,0.0542688144896079,-0.0514753104177519,2026-02-06 00:25:00+00:00,2026-02-06 00:55:00+00:00,0.0457521697361562,0.0453521697361562,0.0451521697361562,0.0449521697361562
SOLUSDT,2026-02,2026,2026-02-06 00:20:00+00:00,EXTREME_UP,0.0518364928909953,11.56994989675036,12.720108675659477,25.85882568883389,0.9945652173913015,0.0009854990848936,-0.00098452883263,0.0592707306771784,-0.05595427963849,0.079121497958609,-0.0733202870189172,0.0875686329719835,-0.0805177993527508,2026-02-06 00:25:00+00:00,2026-02-06 00:55:00+00:00,0.079121497958609,0.078721497958609,0.078521497958609,0.078321497958609
BTCUSDT,2026-02,2026,2026-02-06 05:50:00+00:00,EXTREME_UP,0.0127885617380671,4.331832894341375,4.495263378293397,9.333503677028355,0.9839478887984148,-0.0060759910739691,0.0061131344241645,-0.0047161192733371,0.0047384664462704,-0.0152057030746881,0.015440486528164,-0.0243369127315751,0.0249439720013509,2026-02-06 05:55:00+00:00,2026-02-06 06:25:00+00:00,-0.0152057030746881,-0.0156057030746881,-0.0158057030746881,-0.0160057030746881
ETHUSDT,2026-02,2026,2026-02-06 05:50:00+00:00,EXTREME_UP,0.01760481696661,4.166778848776925,4.106687305998684,6.042688867501665,0.975786251043699,-0.0082777766520092,0.0083468701790951,-0.0075280147520719,0.0075851156143127,-0.0158463190743479,0.0161014680750304,-0.028252852134795,0.0290742835694066,2026-02-06 05:55:00+00:00,2026-02-06 06:25:00+00:00,-0.0158463190743479,-0.0162463190743479,-0.0164463190743479,-0.0166463190743479
SOLUSDT,2026-02,2026,2026-02-13 14:30:00+00:00,EXTREME_UP,0.011669770328988,4.279274256698433,3.8834190470911008,8.950818619717882,0.9252336448598142,-0.0065046637211585,0.0065472513897468,0.0029455081001472,-0.0029368575624081,-0.0022091310751105,0.0022140221402215,0.0289641629847814,-0.028148854961832,2026-02-13 14:35:00+00:00,2026-02-13 15:05:00+00:00,-0.0022091310751105,-0.0026091310751105,-0.0028091310751104997,-0.0030091310751105
BTCUSDT,2026-02,2026,2026-02-15 03:45:00+00:00,EXTREME_UP,0.0078193627673708,4.234007150707726,4.162288541952501,9.564134279193963,0.8496865203761846,0.0003449262916845,-0.0003448073585611,0.0016988693287534,-0.0016959880666449,0.0059524831830541,-0.0059172607877254,0.0059453270359237,-0.0059101890293004,2026-02-15 03:50:00+00:00,2026-02-15 04:20:00+00:00,0.0059524831830541,0.0055524831830541,0.0053524831830541,0.0051524831830541
BNBUSDT,2026-02,2026,2026-02-16 12:25:00+00:00,EXTREME_UP,0.0073427363392828,4.059941974332468,3.9434807559023226,7.789599459138762,0.9304703476482784,0.0004806151874399,-0.0004803843074459,0.0039250240307593,-0.0039096784488947,0.0061038128804868,-0.0060667823760767,-0.0080102531239987,0.0080749354005167,2026-02-16 12:30:00+00:00,2026-02-16 13:00:00+00:00,0.0061038128804868,0.0057038128804868,0.0055038128804868,0.0053038128804867996
BTCUSDT,2026-02,2026,2026-02-16 12:25:00+00:00,EXTREME_UP,0.008898448471927,5.064939970916752,5.25993859233427,11.65353589521965,0.8368155127679887,-0.0006103582399801,0.0006107310046812,-0.0008925049735559,0.000893302250257,0.0039140661662881,-0.0038988059817063,-0.0128592692399598,0.0130267841648668,2026-02-16 12:30:00+00:00,2026-02-16 13:00:00+00:00,0.0039140661662881,0.0035140661662881,0.0033140661662881005,0.0031140661662881004
SOLUSDT,2026-02,2026,2026-02-16 12:25:00+00:00,EXTREME_UP,0.0105472870033986,4.296355684585322,3.903906761235492,6.132613780764586,0.9000000000000057,-0.0011596892032935,0.0011610356437943,0.0003479067609881,-0.0003477857639694,-0.0011596892032935,0.0011610356437943,-0.0149599907224864,0.0151871909583236,2026-02-16 12:30:00+00:00,2026-02-16 13:00:00+00:00,-0.0011596892032935,-0.0015596892032935,-0.0017596892032935001,-0.0019596892032935002
