year,event,side,horizon,minutes,cost,samples,mean_return,median_return,win_rate,profit_factor
2025,REJECT_UP_4H,SHORT,3,15,0.0004,10679,-0.0003533318602687411,-0.00024185972958017354,0.45547335892873864,0.7426729693799926
2025,REJECT_UP_4H,SHORT,6,30,0.0,10679,1.4500866153811634e-05,0.00020638054203647727,0.5292630396104504,1.008856857691204
2025,REJECT_UP_4H,SHORT,6,30,0.0002,10679,-0.0001854991338461883,6.380542036477256e-06,0.5010768798576646,0.8930329281179349
2025,REJECT_UP_4H,SHORT,6,30,0.0004,10679,-0.00038549913384618845,-0.00019361945796352275,0.4736398539189063,0.7901122044579831
2025,REJECT_UP_4H,SHORT,12,60,0.0,10679,1.759802167917319e-05,0.00022050869193379619,0.5239254611855043,1.0076526604151035
2025,REJECT_UP_4H,SHORT,12,60,0.0002,10679,-0.00018240197832082667,2.0508691933796176e-05,0.5022942223054593,0.9239010442537758
2025,REJECT_UP_4H,SHORT,12,60,0.0004,10679,-0.0003824019783208268,-0.00017949130806620383,0.4809439086056747,0.8469491986569051
2026,REJECT_DOWN_1H,LONG,1,5,0.0,13614,-8.613097207091111e-06,3.2643781423424834e-05,0.5088879095049214,0.9854117396576916
2026,REJECT_DOWN_1H,LONG,1,5,0.0002,13614,-0.00020861309720709113,-0.00016735621857657518,0.43536065814602615,0.7000986193714864
2026,REJECT_DOWN_1H,LONG,1,5,0.0004,13614,-0.00040861309720709117,-0.0003673562185765752,0.3620537681798149,0.4992635643061015
2026,REJECT_DOWN_1H,LONG,3,15,0.0,13613,2.4322826329837247e-06,0.00015381723094809452,0.531256886799383,1.0024019799232515
2026,REJECT_DOWN_1H,LONG,3,15,0.0002,13613,-0.0001975677173670163,-4.618276905190549e-05,0.4913685447733784,0.8220352555627943
2026,REJECT_DOWN_1H,LONG,3,15,0.0004,13613,-0.0003975677173670163,-0.0002461827690519055,0.4422978035701168,0.6733129269046921
2026,REJECT_DOWN_1H,LONG,6,30,0.0,13612,-3.209642038880326e-06,0.0002266417950121946,0.5329856009403467,0.9977623364496754
2026,REJECT_DOWN_1H,LONG,6,30,0.0002,13612,-0.00020320964203888027,2.6641795012194604e-05,0.5035263003232442,0.8672378857680652
2026,REJECT_DOWN_1H,LONG,6,30,0.0004,13612,-0.0004032096420388804,-0.0001733582049878054,0.46929180135174847,0.7531447774690493
2026,REJECT_DOWN_1H,LONG,12,60,0.0,13612,2.5629206879356336e-05,0.00025698549944364046,0.5283573317660888,1.0128993561124735
2026,REJECT_DOWN_1H,LONG,12,60,0.0002,13612,-0.00017437079312064354,5.6985499443640454e-05,0.5069056714663532,0.9162980208162441
2026,REJECT_DOWN_1H,LONG,12,60,0.0004,13612,-0.00037437079312064366,-0.00014301450055635956,0.48552747575668526,0.8285886331070923
2026,REJECT_DOWN_4H,LONG,1,5,0.0,5536,-2.8815825940575722e-06,9.020334695553078e-05,0.5242052023121387,0.9959955794411959
2026,REJECT_DOWN_4H,LONG,1,5,0.0002,5536,-0.00020288158259405758,-0.00010979665304446923,0.46278901734104044,0.7527439598976051
2026,REJECT_DOWN_4H,LONG,1,5,0.0004,5536,-0.00040288158259405753,-0.00030979665304446924,0.3977601156069364,0.569037604837219
2026,REJECT_DOWN_4H,LONG,3,15,0.0,5536,-3.7451487409378935e-05,0.00023519740913613418,0.5429913294797688,0.9700537128916296
2026,REJECT_DOWN_4H,LONG,3,15,0.0002,5536,-0.00023745148740937896,3.5197409136134174e-05,0.5086705202312138,0.8235139220161452
2026,REJECT_DOWN_4H,LONG,3,15,0.0004,5536,-0.00043745148740937897,-0.00016480259086386584,0.46585982658959535,0.6979145998929874
2026,REJECT_DOWN_4H,LONG,6,30,0.0,5536,3.614725138847017e-05,0.0003747891251133506,0.5464234104046243,1.0217236655445083
2026,REJECT_DOWN_4H,LONG,6,30,0.0002,5536,-0.00016385274861152973,0.0001747891251133506,0.5263728323699421,0.9067193448172003
2026,REJECT_DOWN_4H,LONG,6,30,0.0004,5536,-0.0003638527486115299,-2.5210874886649412e-05,0.4962066473988439,0.8037942420294825
2026,REJECT_DOWN_4H,LONG,12,60,0.0,5536,0.00014489377352593989,0.0004877637223998921,0.548771676300578,1.0644504319441903
2026,REJECT_DOWN_4H,LONG,12,60,0.0002,5536,-5.5106226474059975e-05,0.0002877637223998921,0.5310693641618497,0.9764512895815919
2026,REJECT_DOWN_4H,LONG,12,60,0.0004,5536,-0.0002551062264740601,8.776372239989206e-05,0.5108381502890174,0.8952770627771001
2026,REJECT_UP_1H,SHORT,1,5,0.0,13555,-3.024336033406193e-05,0.0,0.4986351899668019,0.9434095348826265
2026,REJECT_UP_1H,SHORT,1,5,0.0002,13555,-0.00023024336033406197,-0.0002,0.4155662117299889,0.6418017102604272
2026,REJECT_UP_1H,SHORT,1,5,0.0004,13555,-0.000430243360334062,-0.0004,0.3360383622279602,0.4397359633933311
2026,REJECT_UP_1H,SHORT,3,15,0.0,13555,3.3098697815558084e-05,9.35813073801306e-05,0.5190704537071191,1.0374599247734464
2026,REJECT_UP_1H,SHORT,3,15,0.0002,13555,-0.00016690130218444192,-0.00010641869261986941,0.4736259682773884,0.8304022269185948
2026,REJECT_UP_1H,SHORT,3,15,0.0004,13555,-0.000366901302184442,-0.0003064186926198694,0.41910734046477316,0.6649196680176935
2026,REJECT_UP_1H,SHORT,6,30,0.0,13555,8.224759947101817e-05,0.00011695906432751535,0.5180376244928071,1.066633105593657
2026,REJECT_UP_1H,SHORT,6,30,0.0002,13555,-0.00011775240052898177,-8.304093567248466e-05,0.483659166359277,0.9117268260950152
2026,REJECT_UP_1H,SHORT,6,30,0.0004,13555,-0.0003177524005289819,-0.00028304093567248467,0.4470675027665068,0.7794908824541568
2026,REJECT_UP_1H,SHORT,12,60,0.0,13552,0.0001649388060554483,0.00022725373173992924,0.5270070838252656,1.0931365391320256
2026,REJECT_UP_1H,SHORT,12,60,0.0002,13552,-3.5061193944551576e-05,2.7253731739929234e-05,0.5036894923258559,0.9812287749664753
2026,REJECT_UP_1H,SHORT,12,60,0.0004,13552,-0.00023506119394455175,-0.00017274626826007078,0.4774940968122786,0.8806664410067565
2026,REJECT_UP_4H,SHORT,1,5,0.0,5380,-4.352342559013917e-05,5.5409862227295825e-05,0.5165427509293681,0.9303979847082304
2026,REJECT_UP_4H,SHORT,1,5,0.0002,5380,-0.00024352342559013919,-0.00014459013777270418,0.4446096654275093,0.6659392053998542
2026,REJECT_UP_4H,SHORT,1,5,0.0004,5380,-0.0004435234255901393,-0.0003445901377727042,0.36784386617100373,0.47694192337655855
2026,REJECT_UP_4H,SHORT,3,15,0.0,5380,2.9621800428779985e-05,0.00021660893173125473,0.5451672862453532,1.0296357919028158
2026,REJECT_UP_4H,SHORT,3,15,0.0002,5380,-0.00017037819957122,1.660893173125472e-05,0.503903345724907,0.844328987934556
2026,REJECT_UP_4H,SHORT,3,15,0.0004,5380,-0.00037037819957122005,-0.0001833910682687453,0.4527881040892193,0.6911184342399188
2026,REJECT_UP_4H,SHORT,6,30,0.0,5380,7.010357531606285e-05,0.0002374014747906772,0.5403345724907063,1.0512915673040963
2026,REJECT_UP_4H,SHORT,6,30,0.0002,5380,-0.0001298964246839371,3.740147479067718e-05,0.5091078066914498,0.9111352300635477
2026,REJECT_UP_4H,SHORT,6,30,0.0004,5380,-0.0003298964246839372,-0.00016259852520932283,0.46933085501858735,0.7890700291811092
2026,REJECT_UP_4H,SHORT,12,60,0.0,5380,0.00019561598525205334,0.0004697029507136907,0.5511152416356877,1.1059636010298974
2026,REJECT_UP_4H,SHORT,12,60,0.0002,5380,-4.3840147479465e-06,0.00026970295071369074,0.5293680297397769,0.997737648020943
2026,REJECT_UP_4H,SHORT,12,60,0.0004,5380,-0.00020438401474794673,6.97029507136907e-05,0.5081784386617101,0.8995223285838929
