feature,year,event,bucket,samples,mean_return,median_return,win_rate,profit_factor,q10,q90
rejection_wick_ratio,2025,REJECT_UP_4H,Q3,2645,-0.00010584403563814101,1.690745703397667e-05,0.5020793950850662,0.9558130717694151,-0.007474697357804439,0.006897547583599906
rejection_wick_ratio,2025,REJECT_UP_4H,Q4,2736,5.350389266674468e-05,0.00022539758296002965,0.5274122807017544,1.0251514572186309,-0.006253910559635256,0.006383499246428004
rejection_wick_ratio,2026,REJECT_DOWN_4H,Q1,1319,0.00027089999804484025,0.0005080010160021242,0.5473843821076573,1.112376899673621,-0.007346182239758047,0.0072761972434305855
rejection_wick_ratio,2026,REJECT_DOWN_4H,Q2,1450,0.0003261254173817017,0.0006743159091684436,0.5675862068965517,1.1461136780909462,-0.006933574642897067,0.006575960182980278
rejection_wick_ratio,2026,REJECT_DOWN_4H,Q3,1410,-2.3579309356170518e-05,0.00040348634062314925,0.5397163120567375,0.9901835125210482,-0.007660301316422191,0.006851763741664298
rejection_wick_ratio,2026,REJECT_DOWN_4H,Q4,1357,3.8170993420721085e-06,0.00037654653039265185,0.5394252026529108,1.0019599273132984,-0.005864394804322282,0.005650657397573379
rejection_wick_ratio,2026,REJECT_UP_4H,Q1,1303,0.00034443542673426726,0.0003927729772190691,0.5487336914811972,1.194316669855106,-0.005775039867503184,0.005961775561036385
rejection_wick_ratio,2026,REJECT_UP_4H,Q2,1327,0.0005555957711784806,0.0007623013660440492,0.5810097965335342,1.3284843888293139,-0.005578261172247356,0.006578034135761438
rejection_wick_ratio,2026,REJECT_UP_4H,Q3,1425,-0.000123189665085027,0.00031625553447178767,0.5263157894736842,0.9406954603211738,-0.006721206838492444,0.005764127133980202
rejection_wick_ratio,2026,REJECT_UP_4H,Q4,1325,3.161081057631428e-05,0.0004100296825835237,0.550188679245283,1.0173242214456768,-0.005555882047647032,0.005143091309784698
