fast_span,slow_span,adx_threshold,hold_bars,split,symbol,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade
48,96,25,48,validation,BNBUSDT,1117,-0.00025380039472534745,-0.0006740239414576127,0.459265890778872,0.9382736995873038,9,-0.012039422108869857,0.010803273079201904,-0.08047171866576348,0.09634603447705396
48,96,25,48,validation,BTCUSDT,1076,-0.0008701980195921871,-0.0011062096994083996,0.43029739776951675,0.7734486248814583,10,-0.01074825288607446,0.009227882475832994,-0.09087494746881315,0.05027080103359165
48,96,25,48,validation,ETHUSDT,1133,-0.0005392864621597889,-0.001307007200559828,0.44836716681376876,0.9034195194252396,10,-0.01684632298976847,0.01604727815497041,-0.11729238282632377,0.07739644617293077
48,96,25,48,validation,SOLUSDT,1096,0.00018139842088192275,0.00020270507344853975,0.5091240875912408,1.0277767937802234,8,-0.019654996441077387,0.02062141517073861,-0.2146086054877619,0.08256551055418819
48,96,25,48,confirmation,BNBUSDT,643,-0.000659058595885584,-0.0008408726471904154,0.4463452566096423,0.8245082201432724,7,-0.010841090201619497,0.009360657282188206,-0.041986325915085734,0.09151380440461691
48,96,25,48,confirmation,BTCUSDT,661,-0.0005959744463077591,-0.0009432835820895707,0.43267776096822996,0.8412796004187922,7,-0.011181407176123547,0.009859381121596057,-0.07139388757564531,0.04927663328411806
48,96,25,48,confirmation,ETHUSDT,668,-0.00023685674902751481,-0.0007225987553379326,0.4505988023952096,0.9492137514234331,9,-0.01450570533213563,0.013981969552800526,-0.09267323708128357,0.06919592999515693
48,96,25,48,confirmation,SOLUSDT,635,-0.0007430959789321919,-0.0011949547834366296,0.4346456692913386,0.8653586870412657,9,-0.01690040489983915,0.01617190367596846,-0.05801915986702928,0.06939166765861209
48,96,25,96,development,BNBUSDT,680,-0.0012487241858651433,-0.0014812583436131892,0.4455882352941177,0.8278384940741027,8,-0.020671138056528492,0.018268727190076488,-0.11117133259257346,0.1037483454784374
48,96,25,96,development,BTCUSDT,701,0.0001047242189450489,-0.0007982636766948431,0.46219686162624823,1.0187989360186975,11,-0.016860512781244962,0.018122371500390023,-0.07032214255172771,0.07855207461144136
