feature,event,bucket,cost,feature_min,feature_median,feature_max,samples,mean_return,median_return,win_rate,profit_factor,q10,q90
penetration_norm,REJECT_DOWN_4H,Q4,0.0004,0.06969696969697557,0.10913705583754925,1.2359731151373443,7203,-0.0003194191187881245,4.712720769068957e-05,0.5046508399278079,0.887792717213965,-0.008963295610154963,0.0074564597462867714
penetration_norm,REJECT_UP_4H,Q1,0.0,2.6497787436291614e-05,0.007069913589943037,0.015001898974552962,7263,0.00018426862806604198,0.0003616636528029904,0.5386204047914085,1.0870827233376108,-0.006629777193124875,0.006698262596766826
penetration_norm,REJECT_UP_4H,Q1,0.0002,2.6497787436291614e-05,0.007069913589943037,0.015001898974552962,7263,-1.573137193395782e-05,0.0001616636528029904,0.5178300977557483,0.9928827541389744,-0.006829777193124875,0.006498262596766826
penetration_norm,REJECT_UP_4H,Q1,0.0004,2.6497787436291614e-05,0.007069913589943037,0.015001898974552962,7263,-0.00021573137193395798,-3.833634719700962e-05,0.4952498967368856,0.9065694044320308,-0.0070297771931248755,0.006298262596766826
penetration_norm,REJECT_UP_4H,Q2,0.0,0.01500586166471619,0.02385496183206645,0.03510539367638183,7029,8.77133532176857e-05,0.00036053547355541227,0.5380566225636648,1.039437721380433,-0.00681827315018082,0.006771310145987241
penetration_norm,REJECT_UP_4H,Q2,0.0002,0.01500586166471619,0.02385496183206645,0.03510539367638183,7029,-0.00011228664678231412,0.00016053547355541226,0.5167164603784322,0.9515721673251841,-0.007018273150180819,0.006571310145987242
penetration_norm,REJECT_UP_4H,Q2,0.0004,0.01500586166471619,0.02385496183206645,0.03510539367638183,7029,-0.00031228664678231423,-3.946452644458775e-05,0.49665670792431355,0.8708113584394576,-0.00721827315018082,0.006371310145987241
penetration_norm,REJECT_UP_4H,Q3,0.0,0.03510791366906684,0.0485769802263117,0.0696933492632417,6623,0.00018815231430029716,0.0004128967399110728,0.5408425184961497,1.0844826381185642,-0.006894882118280687,0.006919375251410244
penetration_norm,REJECT_UP_4H,Q3,0.0002,0.03510791366906684,0.0485769802263117,0.0696933492632417,6623,-1.1847685699702638e-05,0.00021289673991107278,0.5228748301374,0.9948946047289836,-0.007094882118280687,0.006719375251410245
penetration_norm,REJECT_UP_4H,Q3,0.0004,0.03510791366906684,0.0485769802263117,0.0696933492632417,6623,-0.00021184768569970284,1.2896739911072766e-05,0.5014343952891439,0.9124006902249527,-0.007294882118280687,0.006519375251410244
penetration_norm,REJECT_UP_4H,Q4,0.0,0.0696956329951615,0.10563971441289308,1.3965406790518857,5902,-0.00013563740833660154,0.00022547189909483123,0.5216875635377838,0.9440244116707053,-0.0076763499941158945,0.006730788477194727
penetration_norm,REJECT_UP_4H,Q4,0.0002,0.0696956329951615,0.10563971441289308,1.3965406790518857,5902,-0.00033563740833660136,2.547189909483122e-05,0.502710945442223,0.8668491001629628,-0.007876349994115895,0.006530788477194727
penetration_norm,REJECT_UP_4H,Q4,0.0004,0.0696956329951615,0.10563971441289308,1.3965406790518857,5902,-0.0005356374083366016,-0.0001745281009051688,0.4825482887156896,0.7957312275936752,-0.008076349994115894,0.006330788477194727
rejection_norm,REJECT_DOWN_4H,Q1,0.0,0.0003407155025628044,0.04149377593361797,0.0630517023959651,5526,0.00039697107800633184,0.0006531362073090019,0.5560984437205936,1.1624668029539833,-0.007744308728002525,0.00840013071660728
rejection_norm,REJECT_DOWN_4H,Q1,0.0002,0.0003407155025628044,0.04149377593361797,0.0630517023959651,5526,0.00019697107800633207,0.0004531362073090019,0.5396308360477742,1.0777358716676015,-0.007944308728002525,0.008200130716607279
rejection_norm,REJECT_DOWN_4H,Q1,0.0004,0.0003407155025628044,0.04149377593361797,0.0630517023959651,5526,-3.028921993668051e-06,0.0002531362073090019,0.5233441910966341,0.9988473022820568,-0.008144308728002524,0.00800013071660728
rejection_norm,REJECT_DOWN_4H,Q2,0.0,0.06308283049917461,0.08467447610077541,0.10664335664334965,6130,0.00016332743428850086,0.000555452956586322,0.5474714518760195,1.064452483459817,-0.007958482402071221,0.007613772201343496
rejection_norm,REJECT_DOWN_4H,Q2,0.0002,0.06308283049917461,0.08467447610077541,0.10664335664334965,6130,-3.6672565711498924e-05,0.000355452956586322,0.5316476345840131,0.9860350294806546,-0.008158482402071222,0.0074137722013434965
rejection_norm,REJECT_DOWN_4H,Q2,0.0004,0.06308283049917461,0.08467447610077541,0.10664335664334965,6130,-0.0002366725657114991,0.00015545295658632197,0.5125611745513866,0.9130367076146555,-0.00835848240207122,0.007213772201343496
rejection_norm,REJECT_DOWN_4H,Q3,0.0,0.10666666666665628,0.13444444444444847,0.1707821590174532,6711,-5.46614579265962e-07,0.00046731000013133794,0.5444792132320071,0.9997901668246939,-0.008197405778544775,0.007360987915999484
