breakout_window,trend_ema_span,stop_atr_multiple,split,symbol,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade,max_compounded_drawdown
72,100,1.5,confirmation,BTCUSDT,115,-0.0019314588566746193,-0.008635277272266161,0.25217391304347825,0.7663688215453943,20,-0.01459523540737726,0.025215807721096762,-0.030899413302771194,0.06117658720953727,0.33371087342691674
72,100,1.5,confirmation,ETHUSDT,103,-0.0005146452941066892,-0.011104434181178856,0.2815533980582524,0.9494869288016627,10,-0.018885590182703128,0.033590724743104754,-0.03245571606925253,0.09794005366997509,0.2885779505716851
72,100,1.5,confirmation,SOLUSDT,112,-0.0012878907662602368,-0.01314045765819023,0.26785714285714285,0.8922351592741201,15,-0.02183853299959446,0.03555313771622124,-0.05658247904973586,0.09653034727259117,0.410089730127542
72,100,2.0,development,BNBUSDT,150,0.0018979690641664734,-0.014216770786517351,0.3333333333333333,1.1474079726882207,12,-0.026921135384331028,0.047541408261164826,-0.05189728696429581,0.09800425366575731,0.23525716854950596
72,100,2.0,development,BTCUSDT,154,0.0015742891779450259,-0.013286834054350338,0.33766233766233766,1.141342828732071,7,-0.021526238164622246,0.04262722367070333,-0.0415430370692232,0.07929211781066552,0.21133125994259516
72,100,2.0,development,ETHUSDT,150,0.004159732306306465,-0.01593698574808523,0.36666666666666664,1.3258656537377296,5,-0.0237880674361258,0.05356109024261204,-0.05373850892854566,0.08984652097052119,0.13782144175674627
72,100,2.0,development,SOLUSDT,150,-0.0017902160091212863,-0.023445354909681426,0.3,0.9156620868571458,7,-0.036997101395331015,0.07039740042512226,-0.07311531728445615,0.11212599143486084,0.5091494067022531
72,100,2.0,validation,BNBUSDT,164,-8.115657589936241e-05,-0.012340341969921186,0.3475609756097561,0.9930649924690459,11,-0.02444546070690836,0.03721413520335104,-0.06324551249327655,0.08089881470935682,0.2853196382358745
72,100,2.0,validation,BTCUSDT,159,-0.0004877548847918359,-0.010379787478036095,0.32075471698113206,0.9486788667594852,10,-0.018258481007161275,0.03020974708494545,-0.03448275183111023,0.05350120438598131,0.249974143694785
72,100,2.0,validation,ETHUSDT,163,0.002382632820165424,-0.017698513304104057,0.3496932515337423,1.1539112015492061,8,-0.029747662957210985,0.05466678942265418,-0.04680904374299273,0.14023699200102607,0.3471655505339727
72,100,2.0,validation,SOLUSDT,187,-0.004137022912953855,-0.02352205091809807,0.28342245989304815,0.7934647888380917,13,-0.03585442465587312,0.05819936818174831,-0.06847034869386077,0.09258555119513205,0.747092873435172
