symbol,event,side,horizon,minutes,cost,samples,mean_return,median_return,win_rate,profit_factor
BTCUSDT,REJECT_DOWN_4H,LONG,1,5,0.0,6492,2.5960401273978268e-05,7.601203931051348e-05,0.5237215033887862,1.0406356643227834
BTCUSDT,REJECT_DOWN_4H,LONG,1,5,0.0002,6492,-0.00017403959872602177,-0.00012398796068948653,0.4579482439926063,0.7650186165943201
BTCUSDT,REJECT_DOWN_4H,LONG,1,5,0.0004,6492,-0.0003740395987260218,-0.00032398796068948654,0.39371534195933455,0.5628245847048728
BTCUSDT,REJECT_DOWN_4H,LONG,3,15,0.0,6492,4.703237835220656e-05,0.00018895628970028167,0.540973505853358,1.045492084405532
BTCUSDT,REJECT_DOWN_4H,LONG,3,15,0.0002,6492,-0.00015296762164779344,-1.1043710299718344e-05,0.49799753542821934,0.8646287241674634
BTCUSDT,REJECT_DOWN_4H,LONG,3,15,0.0004,6492,-0.0003529676216477935,-0.00021104371029971835,0.44993838570548367,0.714236180919688
BTCUSDT,REJECT_DOWN_4H,LONG,6,30,0.0,6492,0.000106809063767631,0.000228366784289169,0.531577325939618,1.077416296136305
BTCUSDT,REJECT_DOWN_4H,LONG,6,30,0.0002,6492,-9.319093623236893e-05,2.8366784289169002e-05,0.5049291435613062,0.9368718844059848
BTCUSDT,REJECT_DOWN_4H,LONG,6,30,0.0004,6492,-0.00029319093623236906,-0.000171633215710831,0.47427603203943314,0.8142565097632404
BTCUSDT,REJECT_DOWN_4H,LONG,12,60,0.0,6492,8.041897992309315e-05,0.0003724105477443951,0.5446703635243376,1.0411779150239968
BTCUSDT,REJECT_DOWN_4H,LONG,12,60,0.0002,6492,-0.00011958102007690671,0.00017241054774439507,0.5209488601355514,0.9415677142066775
BTCUSDT,REJECT_DOWN_4H,LONG,12,60,0.0004,6492,-0.00031958102007690687,-2.7589452255604937e-05,0.4967652495378928,0.8509827900922446
BTCUSDT,REJECT_UP_1H,SHORT,1,5,0.0,15093,-4.5486084620577375e-06,2.8737242460330492e-05,0.5142781421851189,0.9907236253579946
BTCUSDT,REJECT_UP_1H,SHORT,1,5,0.0002,15093,-0.00020454860846205774,-0.00017126275753966952,0.4223149804545153,0.6573412880789621
BTCUSDT,REJECT_UP_1H,SHORT,1,5,0.0004,15093,-0.00040454860846205783,-0.0003712627575396695,0.33982640959385146,0.438997227088295
BTCUSDT,REJECT_UP_1H,SHORT,3,15,0.0,15093,2.3731987076774348e-05,7.352009523198255e-05,0.5209037302060557,1.029471799451665
BTCUSDT,REJECT_UP_1H,SHORT,3,15,0.0002,15093,-0.00017626801292322565,-0.00012647990476801746,0.4663751407937454,0.8055671420131894
BTCUSDT,REJECT_UP_1H,SHORT,3,15,0.0004,15093,-0.0003762680129232257,-0.00032647990476801747,0.4119128072616445,0.6306916202107565
BTCUSDT,REJECT_UP_1H,SHORT,6,30,0.0,15093,2.9840448943199513e-05,9.172967370596474e-05,0.5180547273570529,1.0264421465875337
BTCUSDT,REJECT_UP_1H,SHORT,6,30,0.0002,15093,-0.00017015955105680047,-0.00010827032629403527,0.48009010799708474,0.8615239803746505
BTCUSDT,REJECT_UP_1H,SHORT,6,30,0.0004,15093,-0.0003701595510568005,-0.0003082703262940353,0.4417942092360697,0.7230953927506172
BTCUSDT,REJECT_UP_1H,SHORT,12,60,0.0,15093,0.00011688960679277512,0.000177115193436439,0.5244152918571523,1.0740617414909455
BTCUSDT,REJECT_UP_1H,SHORT,12,60,0.0002,15093,-8.311039320722478e-05,-2.288480656356101e-05,0.496852845690055,0.9504158102742131
BTCUSDT,REJECT_UP_1H,SHORT,12,60,0.0004,15093,-0.0002831103932072249,-0.00022288480656356102,0.4665076525541642,0.8409322585276754
BTCUSDT,REJECT_UP_4H,SHORT,1,5,0.0,6357,3.5612237352907264e-05,9.758198048048783e-05,0.5383042315557653,1.0645158832353314
BTCUSDT,REJECT_UP_4H,SHORT,1,5,0.0002,6357,-0.00016438776264709277,-0.00010241801951951218,0.45886424414031773,0.747985377284185
BTCUSDT,REJECT_UP_4H,SHORT,1,5,0.0004,6357,-0.00036438776264709276,-0.0003024180195195122,0.38319962246342615,0.5257121112310569
BTCUSDT,REJECT_UP_4H,SHORT,3,15,0.0,6357,8.768874591304215e-05,0.000183430575054766,0.5461695768444235,1.1004108660110286
BTCUSDT,REJECT_UP_4H,SHORT,3,15,0.0002,6357,-0.00011231125408695786,-1.6569424945234e-05,0.49693251533742333,0.8841305133904808
BTCUSDT,REJECT_UP_4H,SHORT,3,15,0.0004,6357,-0.00031231125408695787,-0.000216569424945234,0.4492685228881548,0.7094250939514349
BTCUSDT,REJECT_UP_4H,SHORT,6,30,0.0,6357,8.920565855105695e-05,0.000246405079575851,0.5478999528079282,1.0719814304698614
BTCUSDT,REJECT_UP_4H,SHORT,6,30,0.0002,6357,-0.00011079434144894304,4.6405079575850995e-05,0.5093597608935032,0.9169228601947974
BTCUSDT,REJECT_UP_4H,SHORT,6,30,0.0004,6357,-0.00031079434144894315,-0.00015359492042414901,0.4720780242252635,0.7834991555003809
BTCUSDT,REJECT_UP_4H,SHORT,12,60,0.0,6357,0.00017898491672159615,0.0003834005119522921,0.5508887840176184,1.1047646402966789
