beta_window_days,residual_lookback_days,rebalance_time,entry_time,exit_time,gross_return,turnover,estimated_market_beta,long_count,short_count
56,3,2025-06-28 00:00:00+00:00,2025-06-28 04:00:00+00:00,2025-06-29 04:00:00+00:00,0.006864205410408553,0.5,0.36780899728452215,4,4
56,3,2025-06-29 00:00:00+00:00,2025-06-29 04:00:00+00:00,2025-06-30 04:00:00+00:00,-0.006418039484462651,1.5,-0.013500038353478128,4,4
56,3,2025-06-30 00:00:00+00:00,2025-06-30 04:00:00+00:00,2025-07-01 04:00:00+00:00,0.01579886274449982,1.0,-0.314507075375285,4,4
56,3,2025-07-01 00:00:00+00:00,2025-07-01 04:00:00+00:00,2025-07-02 04:00:00+00:00,0.0024915523445227516,0.75,-0.18090891972518175,4,4
56,3,2025-07-02 00:00:00+00:00,2025-07-02 04:00:00+00:00,2025-07-03 04:00:00+00:00,0.021865841358916865,1.0,0.2163574445602655,4,4
56,3,2025-07-03 00:00:00+00:00,2025-07-03 04:00:00+00:00,2025-07-04 04:00:00+00:00,-0.00782669425813172,0.75,0.3220135085727546,4,4
56,3,2025-07-04 00:00:00+00:00,2025-07-04 04:00:00+00:00,2025-07-05 04:00:00+00:00,0.004566187837577132,1.25,-0.08182531178841732,4,4
56,3,2025-07-05 00:00:00+00:00,2025-07-05 04:00:00+00:00,2025-07-06 04:00:00+00:00,0.0030226512288319823,0.75,0.07035154329028961,4,4
56,3,2025-07-06 00:00:00+00:00,2025-07-06 04:00:00+00:00,2025-07-07 04:00:00+00:00,0.007396588064409376,1.25,0.41050655367858047,4,4
56,3,2025-07-07 00:00:00+00:00,2025-07-07 04:00:00+00:00,2025-07-08 04:00:00+00:00,-0.00463178305642821,0.75,0.2844778377666507,4,4
56,3,2025-07-08 00:00:00+00:00,2025-07-08 04:00:00+00:00,2025-07-09 04:00:00+00:00,-0.001028073103539237,1.0,-0.048534257903261824,4,4
56,3,2025-07-09 00:00:00+00:00,2025-07-09 04:00:00+00:00,2025-07-10 04:00:00+00:00,-0.009546516507533409,1.0,-0.12635267942230394,4,4
56,3,2025-07-10 00:00:00+00:00,2025-07-10 04:00:00+00:00,2025-07-11 04:00:00+00:00,-0.012922402905323926,0.5,-0.13776088555815208,4,4
56,3,2025-07-11 00:00:00+00:00,2025-07-11 04:00:00+00:00,2025-07-12 04:00:00+00:00,4.907822614175217e-05,0.5,-0.17921658345600483,4,4
56,3,2025-07-12 00:00:00+00:00,2025-07-12 04:00:00+00:00,2025-07-13 04:00:00+00:00,0.0006327011399768212,1.0,-0.01787087403986451,4,4
56,3,2025-07-13 00:00:00+00:00,2025-07-13 04:00:00+00:00,2025-07-14 04:00:00+00:00,-0.004878958048021631,0.75,0.004238207799074578,4,4
56,3,2025-07-14 00:00:00+00:00,2025-07-14 04:00:00+00:00,2025-07-15 04:00:00+00:00,-0.004118930446489685,0.5,0.12788527618867795,4,4
56,3,2025-07-15 00:00:00+00:00,2025-07-15 04:00:00+00:00,2025-07-16 04:00:00+00:00,0.025932630983341642,1.0,0.2877191962737927,4,4
56,3,2025-07-16 00:00:00+00:00,2025-07-16 04:00:00+00:00,2025-07-17 04:00:00+00:00,0.01601973197635391,1.75,-0.2987210644285798,4,4
56,3,2025-07-17 00:00:00+00:00,2025-07-17 04:00:00+00:00,2025-07-18 04:00:00+00:00,-0.010785177940163926,1.0,-0.35676887154151027,4,4
56,3,2025-07-18 00:00:00+00:00,2025-07-18 04:00:00+00:00,2025-07-19 04:00:00+00:00,0.0030745776773259265,0.5,-0.24032711095421355,4,4
56,3,2025-07-19 00:00:00+00:00,2025-07-19 04:00:00+00:00,2025-07-20 04:00:00+00:00,-0.006853655122342955,1.0,0.07042220290676851,4,4
56,3,2025-07-20 00:00:00+00:00,2025-07-20 04:00:00+00:00,2025-07-21 04:00:00+00:00,0.006510068311242984,0.75,-0.0643396035748324,4,4
56,3,2025-07-21 00:00:00+00:00,2025-07-21 04:00:00+00:00,2025-07-22 04:00:00+00:00,0.02101410434587883,0.5,-0.2559711810762132,4,4
56,3,2025-07-22 00:00:00+00:00,2025-07-22 04:00:00+00:00,2025-07-23 04:00:00+00:00,0.006624806133568709,0.75,-0.280856504842507,4,4
56,3,2025-07-23 00:00:00+00:00,2025-07-23 04:00:00+00:00,2025-07-24 04:00:00+00:00,0.0036178380203677057,1.0,0.06259836760139398,4,4
56,3,2025-07-24 00:00:00+00:00,2025-07-24 04:00:00+00:00,2025-07-25 04:00:00+00:00,-0.00647901562046202,1.25,0.3185123791928881,4,4
56,3,2025-07-25 00:00:00+00:00,2025-07-25 04:00:00+00:00,2025-07-26 04:00:00+00:00,0.014361021499268434,0.25,0.34664983733779153,4,4
56,3,2025-07-26 00:00:00+00:00,2025-07-26 04:00:00+00:00,2025-07-27 04:00:00+00:00,0.0004761781607502402,0.75,0.1639847097989887,4,4
56,3,2025-07-27 00:00:00+00:00,2025-07-27 04:00:00+00:00,2025-07-28 04:00:00+00:00,-0.0034191737278054524,1.25,-0.22307502868211354,4,4
56,3,2025-07-28 00:00:00+00:00,2025-07-28 04:00:00+00:00,2025-07-29 04:00:00+00:00,0.004100389957361256,0.75,-0.12381754017124313,4,4
56,3,2025-07-29 00:00:00+00:00,2025-07-29 04:00:00+00:00,2025-07-30 04:00:00+00:00,0.01293281370183215,1.0,0.014434556962233502,4,4
