symbol,period,experiment,cost,samples,win_rate,mean_return,median_return,profit_factor,best_trade,worst_trade,profit_factor_clean
BNBUSDT,2026-06,BASE_SHORT,0.0002,95,0.4105263157894737,-9.984685396878953e-05,-0.0007010916639821561,0.9566726107533303,0.01401128888066847,-0.01701490893689108,0.9566726107533303
BNBUSDT,2026-06,BASE_SHORT,0.0004,95,0.4105263157894737,-0.00029984685396878955,-0.0009010916639821561,0.8762175158413621,0.013811288880668472,-0.017214908936891083,0.8762175158413621
BNBUSDT,2026-06,BASE_SHORT,0.0006,95,0.3894736842105263,-0.0004998468539687896,-0.001101091663982156,0.8033796625712375,0.013611288880668471,-0.017414908936891082,0.8033796625712375
BNBUSDT,2026-06,BASE_SHORT,0.0008,95,0.37894736842105264,-0.0006998468539687893,-0.001301091663982156,0.7374272267918628,0.01341128888066847,-0.01761490893689108,0.7374272267918628
BNBUSDT,2026-06,BASE_SHORT,0.001,95,0.3473684210526316,-0.0008998468539687901,-0.0015010916639821561,0.6777351639459304,0.01321128888066847,-0.017814908936891083,0.6777351639459304
BNBUSDT,2026-06,ATR_CONTRACTING,0.0,27,0.5185185185185185,0.0013021741140099882,0.0004487251398259673,2.2613856624856172,0.010926737633061956,-0.005097845749054475,2.2613856624856172
BNBUSDT,2026-06,ATR_CONTRACTING,0.0002,27,0.5185185185185185,0.0011021741140099883,0.0002487251398259673,1.9765571100358899,0.010726737633061955,-0.0052978457490544745,1.9765571100358899
BNBUSDT,2026-06,ATR_CONTRACTING,0.0004,27,0.5185185185185185,0.0009021741140099881,4.872513982596727e-05,1.7365114613270207,0.010526737633061957,-0.005497845749054475,1.7365114613270207
BNBUSDT,2026-06,ATR_CONTRACTING,0.0006,27,0.48148148148148145,0.0007021741140099884,-0.00015127486017403266,1.529212658831167,0.010326737633061956,-0.005697845749054475,1.529212658831167
BNBUSDT,2026-06,ATR_CONTRACTING,0.0008,27,0.48148148148148145,0.0005021741140099881,-0.00035127486017403275,1.3510402127392185,0.010126737633061956,-0.005897845749054475,1.3510402127392185
BNBUSDT,2026-06,ATR_CONTRACTING,0.001,27,0.4444444444444444,0.00030217411400998813,-0.0005512748601740327,1.1966764254501085,0.009926737633061955,-0.006097845749054475,1.1966764254501085
BNBUSDT,2026-06,ATR_EXPANDING,0.0,81,0.4567901234567901,-0.0003137226689817285,-0.0005010916639821561,0.8800899101367207,0.014211288880668471,-0.016814908936891082,0.8800899101367207
BNBUSDT,2026-06,ATR_EXPANDING,0.0002,81,0.41975308641975306,-0.0005137226689817284,-0.0007010916639821561,0.8116498499163735,0.01401128888066847,-0.01701490893689108,0.8116498499163735
BNBUSDT,2026-06,ATR_EXPANDING,0.0004,81,0.41975308641975306,-0.0007137226689817284,-0.0009010916639821561,0.7490017843723477,0.013811288880668472,-0.017214908936891083,0.7490017843723477
BNBUSDT,2026-06,ATR_EXPANDING,0.0006,81,0.4074074074074074,-0.0009137226689817288,-0.001101091663982156,0.6913079660140937,0.013611288880668471,-0.017414908936891082,0.6913079660140937
BNBUSDT,2026-06,ATR_EXPANDING,0.0008,81,0.38271604938271603,-0.0011137226689817289,-0.001301091663982156,0.6384108823030821,0.01341128888066847,-0.01761490893689108,0.6384108823030821
BNBUSDT,2026-06,ATR_EXPANDING,0.001,81,0.35802469135802467,-0.0013137226689817292,-0.0015010916639821561,0.5902279136239642,0.01321128888066847,-0.017814908936891083,0.5902279136239642
BNBUSDT,2026-07,BASE_SHORT,0.0,77,0.4155844155844156,-8.688870791547369e-05,-0.00020952647017735693,0.9397548104686966,0.012717253073336154,-0.008505276421483687,0.9397548104686966
BNBUSDT,2026-07,BASE_SHORT,0.0002,77,0.4155844155844156,-0.0002868887079154737,-0.0004095264701773569,0.8159948946337228,0.012517253073336154,-0.008705276421483688,0.8159948946337228
BNBUSDT,2026-07,BASE_SHORT,0.0004,77,0.35064935064935066,-0.0004868887079154738,-0.0006095264701773569,0.710353101905669,0.012317253073336155,-0.008905276421483687,0.710353101905669
BNBUSDT,2026-07,BASE_SHORT,0.0006,77,0.3246753246753247,-0.0006868887079154737,-0.0008095264701773569,0.621332222624079,0.012117253073336155,-0.009105276421483687,0.621332222624079
