hypothesis,event,horizon,minutes,feature,bucket,cost,feature_min,feature_median,feature_max,samples,mean_return,median_return,win_rate,profit_factor,q10,q90,baseline_mean_return,baseline_profit_factor,mean_return_delta,pf_delta,years,years_pf_gt_1,years_mean_gt_0,worst_year_pf,median_year_pf,assets,assets_pf_gt_1,assets_mean_gt_0,worst_asset_pf,median_asset_pf
DOWN_REVERSAL_LONG,EXTREME_DOWN,12,60,volume_ratio_7d,Q4,0.0004,6.379961888630108,9.168582782822476,82.67806597978509,4104,-8.1762884472169e-05,0.00015579487787989997,0.5109649122807017,0.9783709999186279,-0.011692571848108848,0.010837020770685192,-0.00028583403750970205,0.9151818581872299,0.00020407115303753306,0.063189141731398,3,1,1,0.779277965611211,0.8855924983814033,4,2,2,0.8006493285870148,0.9770759010495191
UP_CONTINUATION_LONG,EXTREME_UP,12,60,directional_close_extremity,Q1,0.0004,0.2434827945776836,0.7343502828714419,0.8106640335719495,4160,-0.000114169157890634,-0.0003542300114879767,0.4754807692307692,0.9672591384966209,-0.00996430380461956,0.010114772654229286,-0.0002512156238426971,0.9244393083709865,0.0001370464659520631,0.042819830125634395,3,1,1,0.8970157037704091,0.9690963460735977,4,1,1,0.8585546563500974,0.9738819641751681
UP_CONTINUATION_LONG,EXTREME_UP,12,60,volume_ratio_7d,Q3,0.0004,3.859026134888204,4.867020347436602,6.411368031900936,4159,-0.00014052093183887997,-0.0003809532274757107,0.474873767732628,0.9581693461217177,-0.01011193030231748,0.009954420960444691,-0.0002512156238426971,0.9244393083709865,0.00011069469200381714,0.033730037750731134,3,0,0,0.8644739456154347,0.9826025060221711,4,1,1,0.8144057775405961,0.955935785365484
UP_CONTINUATION_LONG,EXTREME_UP,12,60,directional_close_extremity,Q4,0.0004,0.96205393185855,0.9878169127086053,1.0,4160,-0.00013789219537930074,-0.0002175144365324,0.4831730769230769,0.9533412500576933,-0.00881028163784083,0.00855788884486792,-0.0002512156238426971,0.9244393083709865,0.00011332342846339638,0.02890194168670679,3,1,1,0.9143885105818009,0.944627809661463,4,1,1,0.8860785214019983,0.9249108299279429
UP_CONTINUATION_LONG,EXTREME_UP,6,30,directional_close_extremity,Q1,0.0004,0.2434827945776836,0.7343502828714419,0.8106640335719495,4160,-0.00013671274077088386,-0.0004630344417813511,0.459375,0.9465645298669155,-0.007289377017951,0.007402096853628519,-0.0002452036758708659,0.9011441638679514,0.00010849093509998202,0.04542036599896415,3,0,0,0.905484325587314,0.9449358719562577,4,2,2,0.8458803925295161,0.9534721275441003
UP_CONTINUATION_LONG,EXTREME_UP,6,30,directional_close_extremity,Q4,0.0004,0.96205393185855,0.9878169127086053,1.0,4160,-0.00012498637654737827,-0.00035453527071831436,0.4701923076923077,0.945292115359039,-0.0067518468336723704,0.0066307059681195496,-0.0002452036758708659,0.9011441638679514,0.00012021729932348762,0.044147951491087634,3,1,1,0.8451576931469412,0.9923837829061689,4,0,0,0.8580876213703006,0.9483854822482717
DOWN_REVERSAL_LONG,EXTREME_DOWN,12,60,abs_return_z,Q2,0.0004,2.151167393589035,2.279272286914394,2.4437828881118886,4104,-0.00019912801820236618,7.535939424809998e-05,0.5058479532163743,0.9338089033735428,-0.00928739632677233,0.008724351957873553,-0.00028583403750970205,0.9151818581872299,8.670601930733587e-05,0.018627045186312974,3,0,0,0.9176338845479516,0.9434306822826236,4,1,1,0.865772651398103,0.9133589799772031
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,range_ratio,Q4,0.0004,3.769637459450457,4.643362865211549,61.70495934537982,4104,-0.0002253429359707116,7.693585695659998e-05,0.5041423001949318,0.930469593525798,-0.009494681561059587,0.008717529403537032,-0.00038358683676846165,0.8533030159057083,0.00015824390079775005,0.07716657762008972,3,1,1,0.7581677386528494,0.9043540551254455,4,2,2,0.819550989482137,0.9505509834664974
DOWN_REVERSAL_LONG,EXTREME_DOWN,12,60,volume_ratio_7d,Q3,0.0004,3.9277371071442113,4.921285980705289,6.379714006189969,4104,-0.0002673353156095067,6.36547863329997e-06,0.5012183235867447,0.9220987219513329,-0.010272244849955679,0.00962006174685598,-0.00028583403750970205,0.9151818581872299,1.8498721900195368e-05,0.006916863764103054,3,0,0,0.8787944114070614,0.9026022608134182,4,1,1,0.8706756996963998,0.8894279667521987
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,abs_return_z,Q4,0.0004,2.987367488520792,3.5795825993612658,32.165912659492854,4104,-0.0002433836721398081,0.00012259610865394998,0.5060916179337231,0.9207340402715086,-0.00928215008613389,0.008277745009179624,-0.00038358683676846165,0.8533030159057083,0.00014020316462865355,0.06743102436580029,3,1,1,0.687504626378338,0.8732051288038987,4,1,1,0.8225706325731411,0.896862232878668
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,directional_close_extremity,Q2,0.0004,0.7984496124031081,0.8507658044854227,0.891741071428569,4104,-0.00022459603172399117,-4.832183528200013e-06,0.4987816764132554,0.9116615338362211,-0.0077604059247185705,0.0068606050995552725,-0.00038358683676846165,0.8533030159057083,0.00015899080504447048,0.05835851793051272,3,1,1,0.8057202560489714,0.9027956104248771,4,1,1,0.7911432574218651,0.8606202794330284
