symbol,period,year,open_time,strategy,penetration_norm,entry_price,exit_price,holding_bars,exit_reason,gross_return
BTCUSDT,2026-06,2026,2026-06-02 09:20:00+00:00,RECLAIM_FAILURE,0.06190513038768074,69465.3,69366.6,2,RECLAIM_FAILURE,-0.0014208532893400516
BTCUSDT,2026-06,2026,2026-06-02 12:05:00+00:00,TIME_ONLY,0.0680132958322645,69443.6,68986.8,12,TIME,-0.0065779999884798546
BTCUSDT,2026-06,2026,2026-06-02 12:05:00+00:00,STOP_REJECTION_LOW,0.0680132958322645,69443.6,69224.6,2,STOP_REJECTION_LOW,-0.003153638348242338
BTCUSDT,2026-06,2026,2026-06-02 12:05:00+00:00,RECLAIM_FAILURE,0.0680132958322645,69443.6,69216.8,3,RECLAIM_FAILURE,-0.003265959714070177
BTCUSDT,2026-06,2026,2026-06-02 12:40:00+00:00,TIME_ONLY,0.036489607390306954,69190.1,68861.6,12,TIME,-0.004747789062307994
BTCUSDT,2026-06,2026,2026-06-02 12:40:00+00:00,STOP_REJECTION_LOW,0.036489607390306954,69190.1,69033.4,2,STOP_REJECTION_LOW,-0.0022647748738622298
BTCUSDT,2026-06,2026,2026-06-02 12:40:00+00:00,RECLAIM_FAILURE,0.036489607390306954,69190.1,69024.5,3,RECLAIM_FAILURE,-0.002393405993054043
BTCUSDT,2026-06,2026,2026-06-02 13:35:00+00:00,TIME_ONLY,0.06224066390041514,68855.7,68049.6,12,TIME,-0.01170709178760787
BTCUSDT,2026-06,2026,2026-06-02 13:35:00+00:00,STOP_REJECTION_LOW,0.06224066390041514,68855.7,68785.0,1,STOP_REJECTION_LOW,-0.0010267850010964308
BTCUSDT,2026-06,2026,2026-06-02 13:35:00+00:00,RECLAIM_FAILURE,0.06224066390041514,68855.7,68779.9,4,RECLAIM_FAILURE,-0.001100852943184072
BTCUSDT,2026-06,2026,2026-06-02 15:20:00+00:00,TIME_ONLY,0.036396181384246815,67577.2,67803.7,12,TIME,0.0033517221784862272
BTCUSDT,2026-06,2026,2026-06-02 15:20:00+00:00,STOP_REJECTION_LOW,0.036396181384246815,67577.2,67500.3,1,STOP_REJECTION_LOW,-0.0011379577727398393
BTCUSDT,2026-06,2026,2026-06-02 15:20:00+00:00,RECLAIM_FAILURE,0.036396181384246815,67577.2,67422.2,2,RECLAIM_FAILURE,-0.002293673013975095
BTCUSDT,2026-06,2026,2026-06-02 15:35:00+00:00,TIME_ONLY,0.03689241407362094,67174.7,67589.2,12,TIME,0.006170477873365998
BTCUSDT,2026-06,2026,2026-06-02 15:35:00+00:00,STOP_REJECTION_LOW,0.03689241407362094,67174.7,67589.2,12,TIME,0.006170477873365998
BTCUSDT,2026-06,2026,2026-06-02 15:35:00+00:00,RECLAIM_FAILURE,0.03689241407362094,67174.7,67589.2,12,TIME,0.006170477873365998
BTCUSDT,2026-06,2026,2026-06-02 22:50:00+00:00,TIME_ONLY,0.05159071367153932,66549.8,66754.6,12,TIME,0.0030773946728615
BTCUSDT,2026-06,2026,2026-06-02 22:50:00+00:00,STOP_REJECTION_LOW,0.05159071367153932,66549.8,66310.0,1,STOP_REJECTION_LOW,-0.0036033166140244655
BTCUSDT,2026-06,2026,2026-06-02 22:50:00+00:00,RECLAIM_FAILURE,0.05159071367153932,66549.8,66354.3,2,RECLAIM_FAILURE,-0.0029376496999239388
BTCUSDT,2026-06,2026,2026-06-03 15:35:00+00:00,TIME_ONLY,0.04535833081342647,66309.4,65864.4,12,TIME,-0.006710964056378166
BTCUSDT,2026-06,2026,2026-06-03 15:35:00+00:00,STOP_REJECTION_LOW,0.04535833081342647,66309.4,66183.1,2,STOP_REJECTION_LOW,-0.0019047073265628933
BTCUSDT,2026-06,2026,2026-06-03 15:35:00+00:00,RECLAIM_FAILURE,0.04535833081342647,66309.4,66153.5,4,RECLAIM_FAILURE,-0.002351099542447943
BTCUSDT,2026-06,2026,2026-06-03 15:45:00+00:00,TIME_ONLY,0.0695207790955611,66284.9,65865.0,12,TIME,-0.0063347760953097465
BTCUSDT,2026-06,2026,2026-06-03 15:45:00+00:00,STOP_REJECTION_LOW,0.0695207790955611,66284.9,66111.0,2,STOP_REJECTION_LOW,-0.0026235236079408253
BTCUSDT,2026-06,2026,2026-06-03 15:45:00+00:00,RECLAIM_FAILURE,0.0695207790955611,66284.9,66153.5,2,RECLAIM_FAILURE,-0.0019823519383750376
BTCUSDT,2026-06,2026,2026-06-04 00:50:00+00:00,TIME_ONLY,0.036338448422845886,63152.6,62209.6,12,TIME,-0.014932085139804263
BTCUSDT,2026-06,2026,2026-06-04 00:50:00+00:00,STOP_REJECTION_LOW,0.036338448422845886,63152.6,62911.9,5,STOP_REJECTION_LOW,-0.003811402855939394
BTCUSDT,2026-06,2026,2026-06-04 00:50:00+00:00,RECLAIM_FAILURE,0.036338448422845886,63152.6,62855.9,6,RECLAIM_FAILURE,-0.004698143861060267
BTCUSDT,2026-06,2026,2026-06-04 08:15:00+00:00,TIME_ONLY,0.048751815227162515,63510.8,63082.2,12,TIME,-0.006748458529887924
BTCUSDT,2026-06,2026,2026-06-04 08:15:00+00:00,STOP_REJECTION_LOW,0.048751815227162515,63510.8,63223.2,1,STOP_REJECTION_LOW,-0.004528363679878189
BTCUSDT,2026-06,2026,2026-06-04 08:15:00+00:00,RECLAIM_FAILURE,0.048751815227162515,63510.8,63082.2,12,TIME,-0.006748458529887924
BTCUSDT,2026-06,2026,2026-06-04 09:10:00+00:00,TIME_ONLY,0.056376573617951724,63307.0,62847.3,12,TIME,-0.007261440283064968
BTCUSDT,2026-06,2026,2026-06-04 09:10:00+00:00,STOP_REJECTION_LOW,0.056376573617951724,63307.0,63129.0,1,STOP_REJECTION_LOW,-0.0028116953891355045
BTCUSDT,2026-06,2026,2026-06-04 09:10:00+00:00,RECLAIM_FAILURE,0.056376573617951724,63307.0,63082.2,2,RECLAIM_FAILURE,-0.0035509501318969905
