hypothesis,horizon_bars,minutes,symbol,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
POS_REVERSION_SHORT,3,15,ETHUSDT,0.0,2968,0.00012652666893895836,0.00042917174675760617,0.00021313699261869517,0.0001195695586635087,0.5454851752021563,1.0574476055223245,-0.006866639407062581,0.006619817780866913
POS_REVERSION_SHORT,3,15,ETHUSDT,0.0004,2968,-0.00027347333106104163,2.9171746757606146e-05,-0.00018686300738130483,-0.00028043044133649136,0.5047169811320755,0.8856967213962814,-0.007266639407062581,0.006219817780866913
POS_REVERSION_SHORT,3,15,ETHUSDT,0.0006,2968,-0.00047347333106104156,-0.00017082825324239378,-0.00038686300738130573,-0.00048043044133649123,0.4841644204851752,0.8101306726600278,-0.00746663940706258,0.006019817780866913
POS_REVERSION_SHORT,3,15,SOLUSDT,0.0,3033,-7.727082136368323e-05,0.0003234361860405821,8.338727887920237e-05,-2.335335706266406e-05,0.5242334322453017,0.972461527734962,-0.00865898050836802,0.007899663048911303
POS_REVERSION_SHORT,3,15,SOLUSDT,0.0004,3033,-0.0004772708213636831,-7.656381395941791e-05,-0.0003166127211207975,-0.00042335335706266395,0.4958786679854929,0.8410203113258028,-0.009058980508368019,0.007499663048911303
POS_REVERSION_SHORT,3,15,SOLUSDT,0.0006,3033,-0.0006772708213636832,-0.00027656381395941784,-0.000516612721120798,-0.0006233533570626639,0.4810418727332674,0.7818276614924822,-0.00925898050836802,0.0072996630489113035
POS_REVERSION_SHORT,6,30,BNBUSDT,0.0,3009,-0.00023561387670494827,3.14450576230918e-05,-0.00017522167407152606,-0.00024324809366442927,0.5014955134596212,0.9056362003019661,-0.007708727689404027,0.006838896582737689
POS_REVERSION_SHORT,6,30,BNBUSDT,0.0004,3009,-0.0006356138767049483,-0.0003685549423769082,-0.0005752216740715258,-0.0006432480936644293,0.46095048188767035,0.7649374747363408,-0.008108727689404027,0.006438896582737689
POS_REVERSION_SHORT,6,30,BNBUSDT,0.0006,3009,-0.0008356138767049482,-0.0005685549423769081,-0.0007752216740715267,-0.0008432480936644293,0.44233964772349615,0.703035346733433,-0.008308727689404027,0.0062388965827376896
POS_REVERSION_SHORT,6,30,BTCUSDT,0.0,3010,-0.0002550705272908926,-0.00020179172725143246,-0.00023421793875362358,-0.0002188470404205515,0.4757475083056478,0.8881188500008974,-0.00632848090674174,0.006202419548318115
POS_REVERSION_SHORT,6,30,BTCUSDT,0.0004,3010,-0.0006550705272908926,-0.0006017917272514324,-0.0006342179387536236,-0.0006188470404205515,0.4299003322259136,0.7377616979618291,-0.00672848090674174,0.0058024195483181145
POS_REVERSION_SHORT,6,30,BTCUSDT,0.0006,3010,-0.0008550705272908926,-0.0008017917272514324,-0.000834217938753624,-0.0008188470404205514,0.4079734219269103,0.6728899592835237,-0.00692848090674174,0.005602419548318115
POS_REVERSION_SHORT,6,30,ETHUSDT,0.0,2968,3.343054322804893e-05,0.00047790754897997223,0.0002217042632649872,8.356451125054872e-05,0.5357142857142857,1.0111048120868584,-0.00911315175459555,0.008861205481000714
